transaction_id,customer_id,transaction_ts,transaction_type,status,amount,currency,provider_reference,ingested_at
APPA00141,CUST048,2026-04-03T10:15:00Z,subscription_renewal,succeeded,29.00,EUR,provider-appa00141,2026-04-03T10:20:00Z
APPA00237,CUST072,2026-06-17T10:15:00Z,token_purchase,succeeded,34.00,USD,provider-appa00237,2026-06-17T10:20:00Z
APPA00199,CUST048,2026-05-21T10:15:00Z,refund,succeeded,11.00,EUR,provider-appa00199,2026-05-21T10:20:00Z
APPA00012,CUST012,2026-01-14T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00012,2026-01-14T10:20:00Z
APPA00159,CUST039,2026-04-21T10:15:00Z,refund,succeeded,11.00,GBP,provider-appa00159,2026-04-21T10:20:00Z
APPA00221,CUST066,2026-06-03T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00221,2026-06-03T10:20:00Z
APPA00205,CUST050,2026-06-07T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00205,2026-06-07T10:20:00Z
APPA00038,CUST005,2026-01-20T10:15:00Z,refund,succeeded,7.00,USD,provider-appa00038,2026-01-20T10:20:00Z
APPA00246,CUST012,2027-01-02T10:00:00Z,subscription_renewal,succeeded,49.00,USD,provider-appa00246,2026-06-08T10:20:00Z
APPA00204,CUST049,2026-06-06T10:15:00Z,subscription_renewal,succeeded,74.00,GBP,provider-appa00204,2026-06-06T10:20:00Z
APPA00166,CUST042,2026-05-08T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00166,2026-05-08T10:20:00Z
APPA00017,CUST017,2026-01-19T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00017,2026-01-19T10:20:00Z
APPA00185,CUST061,2026-05-07T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00185,2026-05-07T10:20:00Z
APPA00184,CUST060,2026-05-06T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00184,2026-05-06T10:20:00Z
APPA00190,CUST042,2026-05-10T10:15:00Z,token_purchase,succeeded,13.00,USD,provider-appa00190,2026-05-10T10:20:00Z
APPA00062,CUST031,2026-02-04T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00062,2026-02-04T10:20:00Z
APPA00174,CUST050,2026-05-16T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00174,2026-05-16T10:20:00Z
APPA00118,CUST023,2026-03-20T10:15:00Z,refund, succeeded,7.00,EUR,provider-appa00118,2026-03-20T10:20:00Z
APPA00156,CUST051,2026-04-16T10:15:00Z,token_purchase,succeeded,31.00,USD,provider-appa00156,2026-04-16T10:20:00Z
APPA00224,CUST069,2026-06-06T10:15:00Z,subscription_renewal,succeeded,74.00,GBP,provider-appa00224,2026-06-06T10:20:00Z
APPA00042,CUST011,2026-02-04T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00042,2026-02-04T10:20:00Z
APPA00212,CUST057,2026-06-14T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00212,2026-06-14T10:20:00Z
APPA00036,CUST024,2026-01-16T10:15:00Z,token_purchase,succeeded,31.00,GBP,provider-appa00036,2026-01-16T10:20:00Z
APPA00052,CUST021,2026-02-14T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00052,2026-02-14T10:20:00Z
APPA00165,CUST041,2026-05-07T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00165,2026-05-07T10:20:00Z
APPA00182,CUST058,2026-05-04T10:15:00Z,subscription_renewal,succeeded,44.00,EUR,provider-appa00182,2026-05-04T10:20:00Z
APPA00030,CUST006,2026-01-10T10:15:00Z,token_purchase,succeeded,13.00,USD,provider-appa00030,2026-01-10T10:20:00Z
APPA00191,CUST045,2026-05-11T10:15:00Z,token_purchase,succeeded,16.00,USD,provider-appa00191,2026-05-11T10:20:00Z
APPA00129,CUST036,2026-04-11T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00129,2026-04-11T10:20:00Z
APPA00157,CUST054,2026-04-17T10:15:00Z,token_purchase,Failed ,34.00,GBP,provider-appa00157,2026-04-17T10:20:00Z
APPA00011,CUST011,2026-01-13T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00011,2026-01-13T10:20:00Z
APPA00048,CUST017,2026-02-10T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00048,2026-02-10T10:20:00Z
APPA00172,CUST048,2026-05-14T10:15:00Z,subscription_renewal,succeeded,74.00,EUR,provider-appa00172,2026-05-14T10:20:00Z
APPA00175,CUST051,2026-05-17T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00175,2026-05-17T10:20:00Z
APPA00163,CUST039,2026-05-05T10:15:00Z,subscription_renewal,succeeded,59.00,GBP,provider-appa00163,2026-05-05T10:20:00Z
APPA00015,CUST015,2026-01-17T10:15:00Z,subscription_renewal, SUCCEEDED ,59.00,USD,provider-appa00015,2026-01-17T10:20:00Z
APPA00035,CUST021,2026-01-15T10:15:00Z,token_purchase,succeeded,28.00,USD,provider-appa00035,2026-01-15T10:20:00Z
APPA00152,CUST039,2026-04-12T10:15:00Z,token_purchase,succeeded,19.00,GBP,provider-appa00152,2026-04-12T10:20:00Z
APPA00133,CUST040,2026-04-15T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00133,2026-04-15T10:20:00Z
APPA00094,CUST032,2026-03-16T10:15:00Z,subscription_renewal,failed,44.00,USD,provider-appa00094-voided,2026-03-16T22:20:00Z
APPA00130,CUST037,2026-04-12T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00130,2026-04-12T10:20:00Z
APPA00051,CUST020,2026-02-13T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00051,2026-02-13T10:20:00Z
APPA00100,CUST038,2026-03-22T10:15:00Z,subscription_renewal,succeeded,74.00,EUR,provider-appa00100,2026-03-22T10:20:00Z
APPA00142,CUST049,2026-04-04T10:15:00Z,subscription_renewal,succeeded,44.00,GBP,provider-appa00142,2026-04-04T10:20:00Z
APPA00120,CUST037,2026-03-22T10:15:00Z,refund,succeeded,15.00,USD,provider-appa00120,2026-03-22T10:20:00Z
APPA00151,CUST036,2026-04-11T10:15:00Z,token_purchase,succeeded,16.00,USD,provider-appa00151,2026-04-11T10:20:00Z
APPA00234,CUST063,2026-06-14T10:15:00Z,token_purchase,succeeded,25.00,EUR,provider-appa00234,2026-06-14T10:20:00Z
APPA00028,CUST028,2026-01-10T10:15:00Z,subscription_renewal,succeeded,74.00,EUR,provider-appa00028,2026-01-10T10:20:00Z
APPA00043,CUST012,2026-02-05T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00043,2026-02-05T10:20:00Z
APPA00170,CUST046,2026-05-12T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00170,2026-05-12T10:20:00Z
APPA00195,CUST057,2026-05-15T10:15:00Z,token_purchase,succeeded,28.00,USD,provider-appa00195,2026-05-15T10:20:00Z
APPA00080,CUST028,2026-02-22T10:15:00Z,refund,succeeded,15.00,EUR,provider-appa00080,2026-02-22T10:20:00Z
APPA00027,CUST027,2026-01-09T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00027,2026-01-09T10:20:00Z
APPA00226,CUST071,2026-06-08T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00226,2026-06-08T10:20:00Z
APPA00139,CUST046,2026-04-21T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00139,2026-04-21T10:20:00Z
APPA00032,CUST012,2026-01-12T10:15:00Z,token_purchase,succeeded,19.00,USD,provider-appa00032,2026-01-12T10:20:00Z
APPA00008,CUST008,2026-01-10T10:15:00Z,subscription_renewal,succeeded,74.00,EUR,provider-appa00008,2026-01-10T10:20:00Z
APPA00213,CUST058,2026-06-15T10:15:00Z,subscription_renewal,succeeded,29.00,EUR,provider-appa00213,2026-06-15T10:20:00Z
APPA00057,CUST026,2026-02-19T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00057,2026-02-19T10:20:00Z
APPA00210,CUST055,2026-06-12T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00210,2026-06-12T10:20:00Z
APPA00155,CUST048,2026-04-15T10:15:00Z,token_purchase,succeeded,28.00,EUR,provider-appa00155,2026-04-15T10:20:00Z
APPA00181,CUST057,2026-05-03T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00181,2026-05-03T10:20:00Z
APPA00231,CUST054,2026-06-11T10:15:00Z,token_purchase,succeeded,16.00,GBP,provider-appa00231,2026-06-11T10:20:00Z
APPA00219,CUST064,2026-06-21T10:15:00Z,subscription_renewal,succeeded,59.00,GBP,provider-appa00219,2026-06-21T10:20:00Z
APPA00094,CUST032,2026-03-16T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00094,2026-03-16T10:20:00Z
APPA00242,UNKNOWN02,2026-02-24T10:15:00Z,token_purchase,succeeded,25.00,USD,provider-appa00242,2026-02-24T10:20:00Z
APPA00245,CUST011,2026-13-40 25:61:00,token_purchase,succeeded,15.00,USD,provider-appa00245,2026-03-08T10:20:00Z
APPA00147,CUST054,2026-04-09T10:15:00Z,subscription_renewal,succeeded,59.00,GBP,provider-appa00147,2026-04-09T10:20:00Z
APPA00145,CUST052,2026-04-07T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00145,2026-04-07T10:20:00Z
APPA00053,CUST022,2026-02-15T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00053,2026-02-15T10:20:00Z
APPA00048,CUST017,2026-02-10T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00048,2026-02-10T10:20:00Z
APPA00201,CUST046,2026-06-03T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00201,2026-06-03T10:20:00Z
APPA00045,CUST014,2026-02-07T10:15:00Z,subscription_renewal,succeeded,29.00,GBP,provider-appa00045,2026-02-07T10:20:00Z
APPA00013,CUST013,2026-01-15T10:15:00Z,subscription_renewal,succeeded,29.00,EUR,provider-appa00013,2026-01-15T10:20:00Z
APPA00058,CUST027,2026-02-20T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00058,2026-02-20T10:20:00Z
APPA00178,CUST054,2026-05-20T10:15:00Z,subscription_renewal,succeeded,44.00,GBP,provider-appa00178,2026-05-20T10:20:00Z
APPA00006,CUST006,2026-01-08T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00006,2026-01-08T10:20:00Z
APPA00044,CUST013,2026-02-06T10:15:00Z,subscription_renewal,succeeded,74.00,EUR,provider-appa00044,2026-02-06T10:20:00Z
APPA00055,CUST024,2026-02-17T10:15:00Z,subscription_renewal,succeeded,59.00,GBP,provider-appa00055,2026-02-17T10:20:00Z
APPA00235,CUST066,2026-06-15T10:15:00Z,token_purchase,succeeded,28.00,USD,provider-appa00235,2026-06-15T10:20:00Z
APPA00070,CUST015,2026-02-10T10:15:00Z,token_purchase,succeeded,13.00,USD,provider-appa00070,2026-02-10T10:20:00Z
APPA00046,CUST015,2026-02-08T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00046,2026-02-08T10:20:00Z
APPA00189,CUST039,2026-05-09T10:15:00Z,token_purchase,succeeded,10.00,GBP,provider-appa00189,2026-05-09T10:20:00Z
APPA00020,CUST020,2026-01-22T10:15:00Z,subscription_renewal,failed,74.00,USD,provider-appa00020,2026-01-22T10:20:00Z
APPA00143,CUST050,2026-04-05T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00143,2026-04-05T10:20:00Z
APPA00041,CUST010,2026-02-03T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00041,2026-02-03T10:20:00Z
APPA00158,CUST032,2026-04-20T10:15:00Z,refund,succeeded,7.00,USD,provider-appa00158,2026-04-20T10:20:00Z
APPA00150,CUST033,2026-04-10T10:15:00Z,token_purchase,succeeded,13.00,EUR,provider-appa00150,2026-04-10T10:20:00Z
APPA00004,CUST004,2026-01-06T10:15:00Z,subscription_renewal,succeeded,74.00,GBP,provider-appa00004,2026-01-06T10:20:00Z
APPA00220,CUST065,2026-06-22T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00220,2026-06-22T10:20:00Z
APPA00149,CUST030,2026-04-09T10:15:00Z,token_purchase,succeeded,10.00,USD,provider-appa00149,2026-04-09T10:20:00Z
APPA00207,CUST052,2026-06-09T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00207,2026-06-09T10:20:00Z
APPA00029,CUST003,2026-01-09T10:15:00Z,token_purchase,succeeded,10.00,EUR,provider-appa00029,2026-01-09T10:20:00Z
APPA00072,CUST021,2026-02-12T10:15:00Z,token_purchase,succeeded,19.00,USD,provider-appa00072,2026-02-12T10:20:00Z
APPA00112,CUST030,2026-03-12T10:15:00Z,token_purchase,succeeded,19.00,USD,provider-appa00112,2026-03-12T10:20:00Z
APPA00194,CUST054,2026-05-14T10:15:00Z,token_purchase,succeeded,25.00,GBP,provider-appa00194,2026-05-14T10:20:00Z
APPA00024,CUST024,2026-01-06T10:15:00Z,subscription_renewal,succeeded,74.00,GBP,provider-appa00024,2026-01-06T10:20:00Z
APPA00089,CUST027,2026-03-11T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00089,2026-03-11T10:20:00Z
APPA00247,CUST012,2027-01-03T10:00:00Z,subscription_renewal,succeeded,49.00,USD,provider-appa00247,2026-06-08T10:20:00Z
APPA00009,CUST009,2026-01-11T10:15:00Z,subscription_renewal,succeeded,29.00,GBP,provider-appa00009,2026-01-11T10:20:00Z
APPA00121,CUST028,2026-04-03T10:15:00Z,subscription_renewal,succeeded,29.00,EUR,provider-appa00121,2026-04-03T10:20:00Z
APPA00092,CUST030,2026-03-14T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00092,2026-03-14T10:20:00Z
APPA00148,CUST055,2026-04-10T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00148,2026-04-10T10:20:00Z
APPA00167,CUST043,2026-05-09T10:15:00Z,subscription_renewal,succeeded,59.00,EUR,provider-appa00167,2026-05-09T10:20:00Z
APPA00079,CUST021,2026-02-21T10:15:00Z,refund,succeeded,11.00,USD,provider-appa00079,2026-02-21T10:20:00Z
APPA00060,CUST029,2026-02-22T10:15:00Z,subscription_renewal,succeeded,74.00,GBP,provider-appa00060,2026-02-22T10:20:00Z
APPA00218,CUST063,2026-06-20T10:15:00Z,subscription_renewal,succeeded,44.00,EUR,provider-appa00218,2026-06-20T10:20:00Z
APPA00223,CUST068,2026-06-05T10:15:00Z,subscription_renewal,succeeded,59.00,EUR,provider-appa00223,2026-06-05T10:20:00Z
APPA00064,CUST033,2026-02-06T10:15:00Z,subscription_renewal,succeeded,74.00,EUR,provider-appa00064,2026-02-06T10:20:00Z
APPA00081,CUST019,2026-03-03T10:15:00Z,subscription_renewal,succeeded,29.00,GBP,provider-appa00081,2026-03-03T10:20:00Z
APPA00085,CUST023,2026-03-07T10:15:00Z,subscription_renewal,succeeded,29.00,EUR,provider-appa00085,2026-03-07T10:20:00Z
APPA00122,CUST029,2026-04-04T10:15:00Z,subscription_renewal,succeeded,52.00,GBP,provider-appa00122-corrected,2026-04-04T16:20:00Z
APPA00119,CUST030,2026-03-21T10:15:00Z,refund,succeeded,11.00,USD,provider-appa00119,2026-03-21T10:20:00Z
APPA00021,CUST021,2026-01-03T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00021,2026-01-03T10:20:00Z
APPA00077,CUST036,2026-02-17T10:15:00Z,token_purchase,succeeded,34.00,USD,provider-appa00077,2026-02-17T10:20:00Z
APPA00033,CUST015,2026-01-13T10:15:00Z,token_purchase,succeeded,22.00,USD,provider-appa00033,2026-01-13T10:20:00Z
APPA00208,CUST053,2026-06-10T10:15:00Z,subscription_renewal,succeeded,74.00,EUR,provider-appa00208,2026-06-10T10:20:00Z
APPA00200,CUST055,2026-05-22T10:15:00Z,refund,succeeded,15.00,USD,provider-appa00200,2026-05-22T10:20:00Z
APPA00202,CUST047,2026-06-04T10:15:00Z,subscription_renewal,SUCCEEDED,44.00,USD,provider-appa00202,2026-06-04T10:20:00Z
APPA00216,CUST061,2026-06-18T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00216,2026-06-18T10:20:00Z
APPA00083,CUST021,2026-03-05T10:15:00Z,subscription_renewal,FAILED,59.00,USD,provider-appa00083,2026-03-05T10:20:00Z
APPA00025,CUST025,2026-01-07T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00025,2026-01-07T10:20:00Z
APPA00040,CUST019,2026-01-22T10:15:00Z,refund,succeeded,15.00,GBP,provider-appa00040,2026-01-22T10:20:00Z
APPA00169,CUST045,2026-05-11T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00169,2026-05-11T10:20:00Z
APPA00144,CUST051,2026-04-06T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00144,2026-04-06T10:20:00Z
APPA00236,CUST069,2026-06-16T10:15:00Z,token_purchase,succeeded,31.00,GBP,provider-appa00236,2026-06-16T10:20:00Z
APPA00086,CUST024,2026-03-08T10:15:00Z,subscription_renewal,succeeded,44.00,GBP,provider-appa00086,2026-03-08T10:20:00Z
APPA00108,CUST046,2026-03-10T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00108,2026-03-10T10:20:00Z
APPA00071,CUST018,2026-02-11T10:15:00Z,token_purchase,succeeded,16.00,EUR,provider-appa00071,2026-02-11T10:20:00Z
APPA00003,CUST003,2026-01-05T10:15:00Z,subscription_renewal,succeeded,59.00,EUR,provider-appa00003,2026-01-05T10:20:00Z
APPA00088,CUST026,2026-03-10T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00088,2026-03-10T10:20:00Z
APPA00179,CUST055,2026-05-21T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00179,2026-05-21T10:20:00Z
APPA00170,CUST046,2026-05-12T10:15:00Z,subscription_renewal,succeeded,48.00,USD,provider-appa00170-corrected,2026-05-12T16:20:00Z
APPA00136,CUST043,2026-04-18T10:15:00Z,subscription_renewal,succeeded,74.00,EUR,provider-appa00136,2026-04-18T10:20:00Z
APPA00087,CUST025,2026-03-09T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00087,2026-03-09T10:20:00Z
APPA00054,CUST023,2026-02-16T10:15:00Z,subscription_renewal,succeeded,44.00,EUR,provider-appa00054,2026-02-16T10:20:00Z
APPA00023,CUST023,2026-01-05T10:15:00Z,subscription_renewal,succeeded,59.00,EUR,provider-appa00023,2026-01-05T10:20:00Z
APPA00014,CUST014,2026-01-16T10:15:00Z,subscription_renewal,succeeded,44.00,GBP,provider-appa00014,2026-01-16T10:20:00Z
APPA00125,CUST032,2026-04-07T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00125,2026-04-07T10:20:00Z
APPA00140,CUST047,2026-04-22T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00140,2026-04-22T10:20:00Z
APPA00233,CUST060,2026-06-13T10:15:00Z,token_purchase,succeeded,22.00,USD,provider-appa00233,2026-06-13T10:20:00Z
APPA00034,CUST018,2026-01-14T10:15:00Z,token_purchase,succeeded,25.00,EUR,provider-appa00034,2026-01-14T10:20:00Z
APPA00128,CUST035,2026-04-10T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00128,2026-04-10T10:20:00Z
APPA00168,CUST044,2026-05-10T10:15:00Z,subscription_renewal,succeeded,74.00,GBP,provider-appa00168,2026-05-10T10:20:00Z
APPA00177,CUST053,2026-05-19T10:15:00Z,subscription_renewal,succeeded,29.00,EUR,provider-appa00177,2026-05-19T10:20:00Z
APPA00227,CUST072,2026-06-09T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00227,2026-06-09T10:20:00Z
APPA00019,CUST019,2026-01-21T10:15:00Z,subscription_renewal,succeeded,59.00,GBP,provider-appa00019,2026-01-21T10:20:00Z
APPA00001,CUST001,2026-01-03T10:15:00Z,subscription_renewal,failed,29.00,USD,provider-appa00001,2026-01-03T10:20:00Z
APPA00018,CUST018,2026-01-20T10:15:00Z,subscription_renewal,succeeded,44.00,EUR,provider-appa00018,2026-01-20T10:20:00Z
APPA00022,CUST022,2026-01-04T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00022,2026-01-04T10:20:00Z
APPA00050,CUST019,2026-02-12T10:15:00Z,subscription_renewal,succeeded,44.00,GBP,provider-appa00050,2026-02-12T10:20:00Z
APPA00225,CUST070,2026-06-07T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00225,2026-06-07T10:20:00Z
APPA00016,CUST016,2026-01-18T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00016,2026-01-18T10:20:00Z
APPA00049,CUST018,2026-02-11T10:15:00Z,subscription_renewal,succeeded,29.00,EUR,provider-appa00049,2026-02-11T10:20:00Z
APPA00095,CUST033,2026-03-17T10:15:00Z,subscription_renewal,succeeded,59.00,EUR,provider-appa00095,2026-03-17T10:20:00Z
APPA00161,CUST037,2026-05-03T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00161,2026-05-03T10:20:00Z
APPA00138,CUST045,2026-04-20T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00138,2026-04-20T10:20:00Z
APPA00244,CUST011,not-a-timestamp,token_purchase,succeeded,15.00,USD,provider-appa00244,2026-03-08T10:20:00Z
APPA00164,CUST040,2026-05-06T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00164,2026-05-06T10:20:00Z
APPA00063,CUST032,2026-02-05T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00063,2026-02-05T10:20:00Z
APPA00110,CUST024,2026-03-10T10:15:00Z,token_purchase,succeeded,13.00,GBP,provider-appa00110,2026-03-10T10:20:00Z
APPA00232,CUST057,2026-06-12T10:15:00Z,token_purchase,succeeded,19.00,USD,provider-appa00232,2026-06-12T10:20:00Z
APPA00243,UNKNOWN03,2026-03-24T10:15:00Z,token_purchase,succeeded,25.00,USD,provider-appa00243,2026-03-24T10:20:00Z
APPA00160,CUST046,2026-04-22T10:15:00Z,refund,succeeded,15.00,USD,provider-appa00160,2026-04-22T10:20:00Z
APPA00176,CUST052,2026-05-18T10:15:00Z,subscription_renewal,failed,74.00,USD,provider-appa00176,2026-05-18T10:20:00Z
APPA00240,CUST064,2026-06-22T10:15:00Z,refund,succeeded,15.00,GBP,provider-appa00240,2026-06-22T10:20:00Z
APPA00111,CUST027,2026-03-11T10:15:00Z,token_purchase,succeeded,16.00,USD,provider-appa00111,2026-03-11T10:20:00Z
